"id","category_id","name","sku","gap_new","gap_used","margin_new","margin_used","is_active","created_at","updated_at"
1,1,"Autoasientos","AUTP","0.50","0.15","0.60","0.50",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
2,1,"Cargando al peque","CAPP","0.55","0.20","0.65","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
3,1,"Carriolas","CARP","0.50","0.15","0.60","0.50",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
4,1,"Accesorios Carriola y Auto","ACAP","0.55","0.20","0.65","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
5,1,"Montables de exterior","MDEP","0.50","0.15","0.60","0.50",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
6,1,"Triciclos y bicicletas","TYBP","0.50","0.15","0.60","0.50",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
7,1,"Sillas para bicicleta","SPBP","0.50","0.15","0.60","0.50",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
8,1,"Sobre ruedas","SORP","0.50","0.20","0.65","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
9,1,"Otros de Paseo","ODPP","0.55","0.20","0.65","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
10,2,"Cunas de madera","CDMP","0.50","0.15","0.60","0.50",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
11,2,"Colechos y Moisés","CYMP","0.50","0.20","0.60","0.50",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
12,2,"Cunas de viaje","CDVP","0.55","0.20","0.65","0.50",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
13,2,"Juegos de cuna","JDCP","0.55","0.20","0.65","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
14,2,"Colchones","COLP","0.55","0.20","0.65","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
15,2,"Almohadas y donas","AYDP","0.55","0.20","0.65","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
16,2,"Móviles de cuna","MDCP","0.55","0.20","0.65","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
17,2,"Barandal para cama","BPCP","0.55","0.20","0.65","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
18,2,"Muebles de recámara","MDRP","0.50","0.15","0.60","0.50",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
19,2,"Accesorios Recámara","ACRP","0.55","0.20","0.65","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
20,3,"Sillas para comer","SPCP","0.50","0.15","0.60","0.50",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
21,3,"Mecedoras y Columpios de bebé","MCBP","0.55","0.20","0.65","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
22,3,"Brincolines","BRIP","0.55","0.20","0.60","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
23,3,"Corrales","CORP","0.50","0.15","0.60","0.50",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
24,3,"Protectores y seguros","PYSP","0.50","0.20","0.65","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
25,3,"Puertas de seguridad","PDSP","0.50","0.15","0.60","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
26,3,"Monitores","MONP","0.50","0.20","0.60","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
27,3,"Higiene y accesorios","HYAP","0.55","0.20","0.65","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
28,3,"Bañeras","BANP","0.55","0.20","0.60","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
29,3,"Pañales","PANP","0.55","0.20","0.65","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
30,4,"Lactancia","LACP","0.60","0.30","0.65","0.65",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
31,4,"Calentador de biberones","CDBP","0.55","0.20","0.65","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
32,4,"Esterilizador de biberones","EDBP","0.55","0.20","0.65","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
33,4,"Extractores de leche","EDLP","0.50","0.20","0.60","0.50",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
34,4,"Procesador de alimentos","PDAP","0.50","0.15","0.60","0.50",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
35,4,"Accesorios de alimentación","ADAP","0.55","0.20","0.65","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
36,5,"Niña cuerpo completo","MCCP","0.70","0.55","0.75","0.60",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
37,5,"Niña arriba de cintura","MACP","0.70","0.55","0.75","0.60",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
38,5,"Niña abajo de cintura","MBCP","0.70","0.55","0.75","0.60",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
39,5,"Niño cuerpo completo","HCCP","0.70","0.55","0.75","0.60",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
40,5,"Niño arriba de cintura","HACP","0.70","0.55","0.75","0.60",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
41,5,"Niño abajo de cintura","HBCP","0.70","0.55","0.75","0.60",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
42,5,"Calzado Niña","CMNP","0.65","0.50","0.70","0.60",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
43,5,"Calzado Niño","CHNP","0.65","0.50","0.70","0.60",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
44,5,"Accesorios y Bolsas de Dama","ABDP","0.60","0.45","0.65","0.60",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
45,5,"Ropa de Dama y Maternidad","RDMP","0.65","0.50","0.70","0.60",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
46,6,"Juguetes","JUGP","0.65","0.25","0.65","0.60",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
47,6,"Disfraces","DISP","0.65","0.40","0.75","0.60",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
48,6,"Juegos de mesa","JDMP","0.65","0.25","0.65","0.60",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
49,6,"Mesa de actividades","MDAP","0.55","0.20","0.65","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
50,6,"Libros y rompecabezas","LYRP","0.65","0.25","0.65","0.60",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
51,6,"Gimnasios y tapetes","GYTP","0.55","0.20","0.65","0.50",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
52,6,"Andaderas","ANDP","0.50","0.20","0.60","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
53,6,"Montables y correpasillos Bebé","MCRP","0.55","0.20","0.65","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
54,6,"Montables de exterior","MDEP","0.50","0.15","0.60","0.50",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
55,6,"Triciclos y bicicletas","TYBP","0.50","0.15","0.60","0.50",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
56,6,"Sobre ruedas","SORP","0.50","0.20","0.65","0.55",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
57,6,"Juegos grandes","JGGP","0.40","0.15","0.60","0.50",True,"2025-05-06 16:31:11.414747","2025-05-06 16:31:11.414747"
