id,category_id,name,sku,gap_new,gap_used,margin_new,margin_used,is_active,created_at,updated_at
1,1,Autoasientos,AUTP,0.15,0.5,0.5,0.6,t,,
2,1,Cargando al peque,CAPP,0.2,0.5,0.55,0.65,t,,
3,1,Carriolas,CARP,0.15,0.5,0.5,0.6,t,,
4,1,Accesorios Carriola y Auto,ACAP,0.2,0.55,0.55,0.65,t,,
5,1,Montables de exterior,MDEP,0.15,0.5,0.5,0.6,t,,
6,1,Triciclos y bicicletas,TYBP,0.15,0.45,0.5,0.6,t,,
7,1,Sillas para bicicleta,SPBP,0.15,0.45,0.5,0.6,t,,
8,1,Sobre ruedas,SORP,0.2,0.5,0.55,0.65,t,,
9,1,Otros de Paseo,ODPP,0.2,0.55,0.55,0.65,t,,
10,2,Cunas de madera,CDMP,0.15,0.5,0.5,0.6,t,,
11,2,Colechos y Moisés,CYMP,0.2,0.5,0.5,0.6,t,,
12,2,Cunas de viaje,CDVP,0.2,0.5,0.6,0.65,t,,
13,2,Juegos de cuna,JDCP,0.25,0.6,0.6,0.65,t,,
14,2,Colchones,COLP,0.25,0.6,0.6,0.65,t,,
15,2,Almohadas y donas,AYDP,0.2,0.55,0.6,0.65,t,,
16,2,Móviles de cuna,MDCP,0.2,0.55,0.6,0.65,t,,
17,2,Barandal para cama,BPCP,0.2,0.55,0.55,0.65,t,,
18,2,Muebles de recámara,MDRP,0.15,0.5,0.5,0.6,t,,
19,2,Accesorios Recámara,ACRP,0.2,0.5,0.6,0.65,t,,
20,3,Sillas para comer,SPCP,0.15,0.5,0.5,0.6,t,,
21,3,Mecedoras y Columpios de bebé,MCBP,0.2,0.5,0.55,0.65,t,,
22,3,Brincolines,BRIP,0.2,0.5,0.55,0.65,t,,
23,3,Corrales,CORP,0.15,0.5,0.5,0.6,t,,
24,3,Protectores y seguros,PYSP,0.15,0.5,0.55,0.6,t,,
25,3,Puertas de seguridad,PDSP,0.15,0.45,0.5,0.6,t,,
26,3,Monitores,MONP,0.2,0.5,0.6,0.65,t,,
27,3,Higiene y accesorios,HYAP,0.2,0.55,0.5,0.65,t,,
28,3,Bañeras,BANP,0.2,0.5,0.5,0.6,t,,
29,3,Pañales,PANP,0.2,0.5,0.5,0.65,t,,
30,4,Lactancia,LACP,0.3,0.6,0.6,0.65,t,,
31,4,Calentador de biberones,CDBP,0.2,0.55,0.55,0.65,t,,
32,4,Esterilizador de biberones,EDBP,0.2,0.55,0.55,0.65,t,,
33,4,Extractores de leche,EDLP,0.2,0.5,0.5,0.65,t,,
34,4,Procesador de alimentos,PDAP,0.15,0.5,0.55,0.65,t,,
35,4,Accesorios de alimentación,ADAP,0.2,0.55,0.55,0.65,t,,
36,5,Niña cuerpo completo,MCCP,0.45,0.7,0.6,0.73,t,,
37,5,Niña arriba de cintura,MACP,0.45,0.7,0.6,0.73,t,,
38,5,Niña abajo de cintura,MBCP,0.45,0.7,0.6,0.73,t,,
39,5,Niño cuerpo completo,HCCP,0.45,0.7,0.6,0.73,t,,
40,5,Niño arriba de cintura,HACP,0.45,0.7,0.6,0.73,t,,
41,5,Niño abajo de cintura,HBCP,0.45,0.7,0.6,0.73,t,,
42,5,Calzado Niña,CMNP,0.45,0.7,0.6,0.73,t,,
43,5,Calzado Niño,CHNP,0.45,0.7,0.6,0.73,t,,
44,5,Accesorios y Bolsas de Dama,ABDP,0.45,0.65,0.6,0.7,t,,
45,5,Ropa de Dama y Maternidad,RDMP,0.45,0.65,0.6,0.7,t,,
46,6,Juguetes,JUGP,0.3,0.65,0.6,0.65,t,,
47,6,Disfraces,DISP,0.5,0.65,0.6,0.7,t,,
48,6,Juegos de mesa,JDMP,0.3,0.65,0.6,0.65,t,,
49,6,Mesa de actividades,MDAP,0.25,0.6,0.55,0.65,t,,
50,6,Libros y rompecabezas,LYRP,0.25,0.65,0.6,0.65,t,,
51,6,Gimnasios y tapetes,GYTP,0.25,0.6,0.5,0.65,t,,
52,6,Andaderas,ANDP,0.2,0.55,0.55,0.6,t,,
53,6,Montables y correpasillos Bebé,MCRP,0.2,0.55,0.55,0.65,t,,
54,6,Montables de exterior,MDEP,0.15,0.5,0.5,0.65,t,,
55,6,Triciclos y bicicletas,TYBP,0.15,0.45,0.5,0.6,t,,
56,6,Sobre ruedas,SORP,0.2,0.5,0.5,0.65,t,,
57,6,Juegos grandes,JGGP,0.15,0.45,0.5,0.6,t,,
