Cuerpo completo,Económico,Estándar,Alto,Premium
Abrigo,40,70,130,170
Bata,15,20,40,60
Bata de baño,20,30,50,90
Traje,35,60,110,130
Comando grueso,40,60,100,125
Comando ligero,35,50,90,120
Conjunto bebes,20,30,50,80
Conjunto,40,50,100,150
Costalito,20,40,100,120
Gabardina,40,60,100,150
Impermeable,20,40,90,130
Mameluco,15,20,60,90
Overall,30,40,65,90
Pants completo,50,60,120,150
Pañalero exterior,10,15,30,50
Pañalero interior,5,6,15,30
Pijama corta,20,30,60,80
Pijama larga,20,35,70,100
Traje Baño Completo,30,40,70,100
Vestido niña,30,40,100,130
Vestido bebé,20,30,60,100
Vestido de fiesta,40,60,120,150
Arriba de cintura,Económico,Estándar,Alto,Premium
Playera/Blusa Mcorta,15,20,40,60
Player/Blusa Mlarga,20,25,50,80
Camisa Mcorta,20,30,50,90
Camisa Mlarga,25,35,60,100
Polos Mlarga,25,40,90,120
Polos Mcorta,20,35,70,100
Tirantes,15,20,40,50
Chaleco Grueso,25,35,70,100
Chaleco ligero,25,30,55,80
Cham.ligera/Romp.,30,50,70,100
Chamarra Gruesa,50,60,100,150
Chamarra mezclilla,50,60,100,150
Gorro/Sombrero,5,10,30,50
Guantes y accesorios,10,15,30,50
Moños y diademas,5,10,30,40
Polos M larga,25,40,90,120
Polos Mcorta,20,35,70,100
Sudadera,30,40,80,100
Suéter,30,40,80,100
Torero,20,30,60,90
Abajo de cintura,Económico,Estándar,Alto,Premium
Bermuda,15,20,50,80
Bikini,20,35,70,90
Calcetas,5,10,30,50
Accesorios ,10,20,40,50
Falda,15,25,40,70
Leggins / Mallas,10,15,30,50
Pantalón Mezclilla,30,40,70,130
Pantalón Tela,20,35,60,90
Pants,20,35,60,90
short,15,25,40,70
 Traje de baño 1pza ,20,35,70,90
 Calzado ,Económico,Estándar,Alto,Premium
Botas y botines,25,35,90,150
Botas Nieve / Piel,35,50,110,170
Botas lluvia,20,25,50,100
Crocs,30,45,80,120
Huaraches,20,25,45,60
Pantuflas,15,20,40,50
Sandalias,15,20,35,45
Tennis,35,50,100,130
Zapato bebé,15,20,45,80
Zapato niño(a),25,35,65,100
Botas bebé,20,25,40,80
Zapatillas,20,35,65,90
