Cuerpo completo,Arriba de cintura,Abajo de cintura, Calzado ,Dama/Maternidad
0m,0m,0m,0-6m 8-10cm,XS
3m,3m,3m,6-9m 10.5-11cm,S
6m,6m,6m,9-12m 11.5-12cm,M
9m,9m,9m,12-18m 12.5-13cm,L
12m,12m,12m,18-24m 13.5-14cm,XL
18m,18m,18m,2-3a 14.5-15cm,
2a,2a,2a,3-4a 15.5-16cm,
3a,3a,3a,4-5a 16.5-17cm,
4a,4a,4a, 5-6a 17.5-18cm,
5a,5a,5a, 6-7a 18.5-19cm,
6a,6a,6a,7-8a 19.5-20cm,
7a,7a,7a,21cm,
8a,8a,8a,22cm,
9a,9a,9a,23 cm,
Ch 10-11,Ch 10-11,Ch 10-11,24cm,
M 12-13,M 12-13,M 12-13,25cm,
G 14-15,G 14-15,G 14-15,,
